"Module","ModuleFamily","Entity","FeatureAction","ActionKind","HttpMethod","RouteExpression","PermissionExpression","PermissionReference","EndpointFile","Line"
"Employee","HR employees","AcademicInstitutions","DeleteAcademicInstitution","Workflow","DELETE","$""{Utils.URL_PATTERN}/{Utils.AcademicInstitution_Endpoint}"" + ""/{id}"", async (Guid id, ISender sender) =>","PermissionList.AcademicInistitutionPermissions.Delete","AcademicInistitutionPermissions.Delete","src/Modules/Employee/EmployeeModule/Employees/Features/AcademicInstitutions/DeleteAcademicInstitution/DeleteAcademicInstitutionEndpoint.cs","10"
"Employee","HR employees","AcademicInstitutions","GetAcademicInstitutionById","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.AcademicInstitution_Endpoint}"" + ""/{id}"", async (Guid id, ISender sender) =>","PermissionList.AcademicInistitutionPermissions.View","AcademicInistitutionPermissions.View","src/Modules/Employee/EmployeeModule/Employees/Features/AcademicInstitutions/GetAcademicInstitutionById/GetAcademicInstitutionByIdEndPoint.cs","10"
"Employee","HR employees","AcademicInstitutions","GetAcademicInstitutionsByCompany","View/List","GET","$""{Utils.URL_PATTERN}/{Utils.AcademicInstitution_Endpoint}/company"" + ""/{companyId}"",","PermissionList.AcademicInistitutionPermissions.View","AcademicInistitutionPermissions.View","src/Modules/Employee/EmployeeModule/Employees/Features/AcademicInstitutions/GetAcademicInstitutionsByCompany/GetAcademicInstitutionsByCompanyEndpoint.cs","13"
"Employee","HR employees","AcademicInstitutions","UpdateAcademicInstitution","Edit","PUT","$""{Utils.URL_PATTERN}/{Utils.AcademicInstitution_Endpoint}"",","PermissionList.AcademicInistitutionPermissions.Edit","AcademicInistitutionPermissions.Edit","src/Modules/Employee/EmployeeModule/Employees/Features/AcademicInstitutions/UpdateAcademicInstitution/UpdateAcademicInstitutionEndpoint.cs","12"
"Employee","HR employees","Employees","ChangePosition","Workflow","PUT","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/ChangePosition"", async (ChangePositionRequest request, ISender sender) =>","PermissionList.EmployeePermissions.Edit","EmployeePermissions.Edit","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/ChangePosition/ChangePositionEndpoint.cs","11"
"Employee","HR employees","Employees","CreateEmployee","Workflow","POST","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}"", async (CreateEmployeeRequest request, ISender sender) =>","PermissionList.EmployeePermissions.Create","EmployeePermissions.Create","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/CreateEmployee/CreateEmployeeEndpoint.cs","12"
"Employee","HR employees","Employees","DeleteEmployee","Workflow","DELETE","""/api/v1/Employee/Employees/{id}"", async ([FromRoute]Guid id,[FromServices] ISender sender) =>","PermissionList.EmployeePermissions.Delete","EmployeePermissions.Delete","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/DeleteEmployee/DeleteEmployeeEndpoint.cs","10"
"Employee","HR employees","Employees","GetByPosition","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/Position"" + ""/{positionId}"", async ([FromRoute] Guid positionId, [AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.EmployeePermissions.View","EmployeePermissions.View","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/GetByPosition/GetByPositionEndpoint.cs","14"
"Employee","HR employees","Employees","GetEmployeeById","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}"" + ""/{id}"", async (Guid id, ISender sender) =>","PermissionList.EmployeePermissions.View","EmployeePermissions.View","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/GetEmployeeById/GetEmployeeByIdEndPoint.cs","11"
"Employee","HR employees","Employees","GetEmployeesByAdministrationId","Workflow","GET","$""{Utils.URL_PATTERN}/{Utils.Employee_Endpoint}/administration"" + ""/{administrationId}"", async ([FromRoute] Guid administrationId, [AsParameters] PaginationRequest request, ISender sender) =>","PermissionList.EmployeePermissions.View","EmployeePermissions.View","src/Modules/Employee/EmployeeModule/Employees/Features/Employees/GetEmployeesByAdministrationId/GetEmployeesByAdministrationIdEndpoint.cs","13"
