"Module","ModuleFamily","Route","PageFile","MenuReachable"
"Suppliers","Suppliers","/Suppliers/Supplier/View/{Id:guid}","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Suppliers/Pages/SupplierDetail.razor","False"
"Suppliers","Suppliers","/Suppliers/SupplierGroup/List","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Suppliers/Pages/SupplierGroupList.razor","True"
"TaskManagement","Task management","/TaskManagement/Create","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/TaskManagement/Pages/CreateTask.razor","False"
"TaskManagement","Task management","/TaskManagement/Dashboard","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/TaskManagement/Pages/TaskDashboard.razor","True"
"TaskManagement","Task management","/TaskManagement/Edit/{Id:guid}","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/TaskManagement/Pages/EditTask.razor","False"
"TaskManagement","Task management","/TaskManagement/Kanban","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/TaskManagement/Pages/Kanban.razor","True"
"TaskManagement","Task management","/TaskManagement/List","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/TaskManagement/Pages/TaskList.razor","True"
"TaskManagement","Task management","/TaskManagement/MyTasks","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/TaskManagement/Pages/MyTasks.razor","True"
"TaskManagement","Task management","/TaskManagement/Notifications","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/TaskManagement/Pages/Notifications.razor","True"
"TaskManagement","Task management","/TaskManagement/Reports","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/TaskManagement/Pages/Reports.razor","True"
"TaskManagement","Task management","/TaskManagement/View/{Id:guid}","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/TaskManagement/Pages/ViewTask.razor","False"
